year,dem,rep,name,description
2020,51.3,46.9,Joe Biden (Democratic),
2016,48.1,46,Donald Trump (Republican),
2012,51.1,47.2,Barack Obama (Democratic),
2008,52.9,45.7,Barack Obama (Democratic),
2004,48.3,50.7,George W. Bush (Republican),
2000,48.4,47.9,George W. Bush (Republican),
1996,49.2,40.7,Bill Clinton (Democratic),
1992,43,37.4,Bill Clinton (Democratic),
1988,45.7,53.4,George H.W. Bush (Republican),
1984,40.6,58.8,Ronald Reagan (Republican),
1980,41,50.4,Ronald Reagan (Republican),
